dates,results,locations,game_nums,opponent,date_diff,rest
2016-10-26,Loss,Home,1,CHO,5.0,4.0
2016-10-29,Win,Home,2,BRK,3.0,2.0
2016-10-30,Loss,Away,3,DET,1.0,0.0
2016-11-01,Win,Away,4,NOP,2.0,1.0
2016-11-03,Win,Home,5,IND,2.0,1.0
2016-11-05,Win,Home,6,SAC,2.0,1.0
2016-11-06,Loss,Away,7,DAL,1.0,0.0
2016-11-10,Loss,Home,8,NOP,4.0,3.0
2016-11-12,Win,Home,9,MEM,2.0,1.0
2016-11-16,Loss,Away,10,ATL,4.0,3.0
2016-11-17,Loss,Away,11,MIA,1.0,0.0
2016-11-19,Loss,Home,12,GSW,2.0,1.0
2016-11-21,Win,Home,13,ORL,2.0,1.0
2016-11-25,Loss,Home,14,TOR,4.0,3.0
2016-11-27,Win,Away,15,ORL,2.0,1.0
2016-11-29,Win,Home,16,CLE,2.0,1.0
2016-12-01,Win,Away,17,BRK,2.0,1.0
2016-12-03,Win,Home,18,BRK,2.0,1.0
2016-12-05,Loss,Home,19,SAS,2.0,1.0
2016-12-07,Win,Home,20,POR,2.0,1.0
2016-12-09,Loss,Home,21,ATL,2.0,1.0
2016-12-10,Loss,Away,22,WAS,1.0,0.0
2016-12-12,Loss,Away,23,TOR,2.0,1.0
2016-12-15,Win,Home,24,CHI,3.0,2.0
2016-12-16,Win,Away,25,CHI,1.0,0.0
2016-12-20,Loss,Home,26,CLE,4.0,3.0
2016-12-21,Loss,Away,27,CLE,1.0,0.0
2016-12-23,Win,Home,28,WAS,2.0,1.0
2016-12-26,Loss,Away,29,WAS,3.0,2.0
2016-12-28,Win,Away,30,DET,2.0,1.0
2016-12-30,Loss,Away,31,MIN,2.0,1.0
2016-12-31,Win,Away,32,CHI,1.0,0.0
2017-01-02,Win,Home,33,OKC,2.0,1.0
2017-01-04,Win,Away,34,NYK,2.0,1.0
2017-01-06,Loss,Home,35,NYK,2.0,1.0
2017-01-08,Loss,Home,36,WAS,2.0,1.0
2017-01-10,Win,Away,37,SAS,2.0,1.0
2017-01-13,Win,Home,38,MIA,3.0,2.0
2017-01-15,Loss,Away,39,ATL,2.0,1.0
2017-01-16,Loss,Home,40,PHI,1.0,0.0
2017-01-18,Loss,Away,41,HOU,2.0,1.0
2017-01-20,Loss,Away,42,ORL,2.0,1.0
2017-01-21,Loss,Away,43,MIA,1.0,0.0
2017-01-23,Win,Home,44,HOU,2.0,1.0
2017-01-25,Loss,Home,45,PHI,2.0,1.0
2017-01-27,Loss,Away,46,TOR,2.0,1.0
2017-01-28,Loss,Home,47,BOS,1.0,0.0
2017-02-01,Loss,Away,48,UTA,4.0,3.0
2017-02-03,Loss,Away,49,DEN,2.0,1.0
2017-02-04,Win,Away,50,PHO,1.0,0.0
2017-02-08,Loss,Home,51,MIA,4.0,3.0
2017-02-10,Loss,Home,52,LAL,2.0,1.0
2017-02-11,Win,Away,53,IND,1.0,0.0
2017-02-13,Win,Home,54,DET,2.0,1.0
2017-02-15,Win,Away,55,BRK,2.0,1.0
2017-02-24,Loss,Home,56,UTA,9.0,8.0
2017-02-26,Win,Home,57,PHO,2.0,1.0
2017-02-27,Loss,Away,58,CLE,1.0,0.0
2017-03-01,Loss,Home,59,DEN,2.0,1.0
2017-03-03,Win,Home,60,LAC,2.0,1.0
2017-03-04,Win,Home,61,TOR,1.0,0.0
2017-03-06,Win,Away,62,PHI,2.0,1.0
2017-03-08,Win,Home,63,NYK,2.0,1.0
2017-03-10,Win,Home,64,IND,2.0,1.0
2017-03-11,Win,Home,65,MIN,1.0,0.0
2017-03-13,Loss,Away,66,MEM,2.0,1.0
2017-03-15,Win,Away,67,LAC,2.0,1.0
2017-03-17,Win,Away,68,LAL,2.0,1.0
2017-03-18,Loss,Away,69,GSW,1.0,0.0
2017-03-21,Win,Away,70,POR,3.0,2.0
2017-03-22,Win,Away,71,SAC,1.0,0.0
2017-03-24,Win,Home,72,ATL,2.0,1.0
2017-03-26,Loss,Home,73,CHI,2.0,1.0
2017-03-28,Win,Away,74,CHO,2.0,1.0
2017-03-29,Win,Away,75,BOS,1.0,0.0
2017-03-31,Win,Home,76,DET,2.0,1.0
2017-04-02,Loss,Home,77,DAL,2.0,1.0
2017-04-04,Loss,Away,78,OKC,2.0,1.0
2017-04-06,Loss,Away,79,IND,2.0,1.0
2017-04-08,Win,Away,80,PHI,2.0,1.0
2017-04-10,Win,Home,81,CHO,2.0,1.0
2017-04-12,Loss,Away,82,BOS,2.0,1.0
