dates,results,locations,game_nums,opponent,date_diff,rest,game_arenas,travel_miles
2016-10-26,Loss,Home,1,CHO,5.0,4.0,"(43.0451, 87.9174)",0
2016-10-29,Win,Home,2,BRK,3.0,2.0,"(43.0451, 87.9174)",0
2016-10-30,Loss,Away,3,DET,1.0,0.0,"(42.3411, 83.0553)",252
2016-11-01,Win,Away,4,NOP,2.0,1.0,"(33.7114, 78.8844)",636
2016-11-03,Win,Home,5,IND,2.0,1.0,"(43.0451, 87.9174)",808
2016-11-05,Win,Home,6,SAC,2.0,1.0,"(43.0451, 87.9174)",0
2016-11-06,Loss,Away,7,DAL,1.0,0.0,"(32.7903, 96.8101)",856
2016-11-10,Loss,Home,8,NOP,4.0,3.0,"(43.0451, 87.9174)",856
2016-11-12,Win,Home,9,MEM,2.0,1.0,"(43.0451, 87.9174)",0
2016-11-16,Loss,Away,10,ATL,4.0,3.0,"(33.7573, 84.3963)",668
2016-11-17,Loss,Away,11,MIA,1.0,0.0,"(25.7814, 80.187)",604
2016-11-19,Loss,Home,12,GSW,2.0,1.0,"(43.0451, 87.9174)",1267
2016-11-21,Win,Home,13,ORL,2.0,1.0,"(43.0451, 87.9174)",0
2016-11-25,Loss,Home,14,TOR,4.0,3.0,"(43.0451, 87.9174)",0
2016-11-27,Win,Away,15,ORL,2.0,1.0,"(28.5392, 81.3839)",1064
2016-11-29,Win,Home,16,CLE,2.0,1.0,"(43.0451, 87.9174)",1064
2016-12-01,Win,Away,17,BRK,2.0,1.0,"(40.6826, 73.9754)",736
2016-12-03,Win,Home,18,BRK,2.0,1.0,"(43.0451, 87.9174)",736
2016-12-05,Loss,Home,19,SAS,2.0,1.0,"(43.0451, 87.9174)",0
2016-12-07,Win,Home,20,POR,2.0,1.0,"(43.0451, 87.9174)",0
2016-12-09,Loss,Home,21,ATL,2.0,1.0,"(43.0451, 87.9174)",0
2016-12-10,Loss,Away,22,WAS,1.0,0.0,"(38.8981, 77.0208)",637
2016-12-12,Loss,Away,23,TOR,2.0,1.0,"(43.6435, 79.3791)",349
2016-12-15,Win,Home,24,CHI,3.0,2.0,"(43.0451, 87.9174)",431
2016-12-16,Win,Away,25,CHI,1.0,0.0,"(41.8807, 87.6742)",81
