dates,results,locations,game_nums,opponent,date_diff,rest,opp_date_diff,opp_rest,rest_diff,abbrv
2015-10-28,Loss,Home,1,NYK,10,9,10.0,9.0,0.0,MIL
2015-10-30,Loss,Home,2,WAS,2,1,2.0,1.0,0.0,MIL
2015-11-01,Loss,Away,3,TOR,2,1,2.0,1.0,0.0,MIL
2015-11-02,Win,Away,4,BRK,1,0,2.0,1.0,-1.0,MIL
2015-11-04,Win,Home,5,PHI,2,1,2.0,1.0,0.0,MIL
2015-11-06,Win,Away,6,NYK,2,1,2.0,1.0,0.0,MIL
2015-11-07,Win,Home,7,BRK,1,0,1.0,0.0,0.0,MIL
2015-11-10,Loss,Home,8,BOS,3,2,2.0,1.0,1.0,MIL
2015-11-11,Loss,Away,9,DEN,1,0,2.0,1.0,-1.0,MIL
2015-11-14,Win,Home,10,CLE,3,2,1.0,0.0,2.0,MIL
2015-11-17,Loss,Away,11,WAS,3,2,3.0,2.0,0.0,MIL
2015-11-19,Loss,Away,12,CLE,2,1,2.0,1.0,0.0,MIL
2015-11-21,Loss,Away,13,IND,2,1,3.0,2.0,-1.0,MIL
2015-11-23,Win,Home,14,DET,2,1,2.0,1.0,0.0,MIL
2015-11-25,Loss,Home,15,SAC,2,1,2.0,1.0,0.0,MIL
2015-11-27,Loss,Away,16,ORL,2,1,2.0,1.0,0.0,MIL
2015-11-29,Loss,Away,17,CHO,2,1,2.0,1.0,0.0,MIL
2015-11-30,Win,Home,18,DEN,1,0,2.0,1.0,-1.0,MIL
2015-12-02,Loss,Away,19,SAS,2,1,2.0,1.0,0.0,MIL
2015-12-04,Loss,Away,20,DET,2,1,2.0,1.0,0.0,MIL
2015-12-05,Win,Home,21,NYK,1,0,1.0,0.0,0.0,MIL
2015-12-07,Win,Home,22,POR,2,1,2.0,1.0,0.0,MIL
2015-12-09,Loss,Home,23,LAC,2,1,1.0,0.0,1.0,MIL
2015-12-11,Loss,Away,24,TOR,2,1,2.0,1.0,0.0,MIL
